Sigla,Código,Estado,1920,1940,1950,1960,1970,1980,1991,1992,1993,1994,1995,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2008,2009,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
AC,12,Acre,92379,79768,114755,158852,215299,301276,417718,428006,437495,446480,455242,500185,514050,527937,541873,574355,586942,600595,630328,669736,686652,680075,691132,746386,758786,776463,790101,803513,816687,829619,869265,881935,894470,906876
AL,27,Alagoas,978748,951300,1093137,1256159,1588068,1982915,2514100,2548092,2604394,2645417,2685421,2663071,2688117,2713203,2738378,2856629,2887535,2917664,2980910,3015912,3050652,3127560,3156108,3143384,3165472,3300935,3321730,3340932,3358963,3375823,3322820,3337357,3351543,3365351
AM,13,Amazonas,348947,416159,514099,714774,955203,1430528,2103243,2165852,2217600,2269555,2320221,2460602,2520684,2580860,2641251,2900240,2961801,3031068,3138726,3232330,3311026,3341094,3393369,3538387,3590985,3807921,3873743,3938336,4001667,4063614,4080611,4144597,4207714,4269995
AP,16,Amapá,36477,30747,37477,68520,114230,175258,289397,299305,308787,317597,326188,401916,420834,439781,458796,498735,516511,534835,547400,594587,615715,613166,626609,684309,698602,734996,750912,766679,782295,797722,829494,845731,861773,877613
BA,29,Bahia,3334465,3918112,4834575,5919052,7493437,9455392,11867991,12014023,12278027,12464316,12645982,12709744,12851268,12993011,13135262,13214114,13323212,13435612,13682074,13815334,13950146,14502563,14637364,14097534,14175341,15044137,15126371,15203334,15276566,15344447,14812617,14873064,14930634,14985284
CE,23,Ceará,1319228,2091032,2695450,3289595,4361603,5288429,6366647,6433713,6549847,6633080,6714246,6920292,7013376,7106605,7200167,7547620,7654535,7758441,7976563,8097276,8217085,8450528,8547809,8530155,8606005,8778576,8842791,8904459,8963663,9020460,9075649,9132078,9187103,9240580
DF,53,Distrito Federal,,,,139796,537492,1176908,1601094,1639035,1673151,1705889,1737813,1877015,1923406,1969868,2016497,2097447,2145839,2189789,2282049,2333108,2383784,2557159,2606885,2609998,2648532,2789761,2852372,2914830,2977216,3039444,2974703,3015268,3055149,3094325
ES,32,Espírito Santo,457328,790149,957238,1418348,1599324,2023338,2600618,2649747,2698687,2743243,2786692,2853098,2895547,2938062,2980729,3155016,3201722,3250219,3352024,3408365,3464285,3453646,3487199,3547055,3578067,3839366,3885049,3929911,3973697,4016356,3972388,4018650,4064052,4108508
GO,52,Goiás,400022,662018,1010881,1593788,2416890,3121125,4018903,4098513,4171489,4240812,4308415,4639785,4744174,4848725,4953650,5116462,5210335,5306459,5508245,5619917,5730753,5844995,5926300,6080716,6154996,6434048,6523222,6610681,6695855,6778772,6921161,7018354,7113540,7206589
MA,21,Maranhão,874337,1235169,1583248,2477371,2992678,3996444,4930253,4990749,5088898,5160974,5231261,5295452,5356853,5418349,5480066,5730467,5803224,5873655,6021504,6103327,6184538,6305537,6367138,6645761,6714314,6794301,6850884,6904241,6954036,7000229,7035055,7075181,7114598,7153262
MG,31,Minas Gerais,5888173,6763368,7782188,9960040,11485663,13380105,15743152,15941939,16144856,16327360,16505334,16904977,17100314,17295955,17492296,18127096,18343517,18553312,18993720,19237450,19479356,19850060,20033665,19728701,19855332,20593356,20734097,20869101,20997560,21119536,21040662,21168791,21292666,21411923
MS,50,Mato Grosso do Sul,130384,238640,309395,572018,998160,1369769,1780373,1818175,1850162,1881868,1912788,1964603,1995578,2026600,2057734,2111036,2140624,2169688,2230702,2264468,2297981,2336060,2360498,2477541,2500365,2587269,2619657,2651235,2682167,2713147,2739524,2770380,2800681,2830371
MT,51,Mato Grosso,98228,187524,212649,324845,598849,1138918,2027231,2107698,2178178,2246757,2313634,2287846,2331663,2375549,2419591,2560584,2604742,2651335,2749145,2803274,2856999,2957735,3001692,3075936,3115336,3182113,3224357,3265486,3305531,3344544,3441998,3484466,3526220,3567234
