Sigla,nao_determinada10,missionaria10,pentecostal10,evangelica10
AC,43075,49368,147147,239589
AL,65982,72441,358049,496472
AP,29076,18097,139991,187163
AM,165794,226467,693219,1085480
BA,444945,677739,1318241,2440925
CE,273453,13739,825592,1236435
DF,221286,119417,350278,690982
ES,129747,391922,642573,1164242
GO,377349,167684,1140647,1685680
MA,117411,259625,753363,1130399
MT,103961,164695,476522,745178
MS,152005,124428,372398,648831
MG,897982,801833,2257705,3957520
PR,471742,444707,1399764,2316213
PB,129986,122752,318278,571015
PA,208536,254076,1563720,2026332
PE,309608,37688,1102485,1788973
PI,32743,59924,210315,302982
RN,99922,59982,328044,487948
RS,447789,610043,901256,1959088
RJ,1275615,900977,2520314,4696906
RO,55046,139799,333305,52815
RR,23288,26977,86215,13648
SC,262636,30409,685769,1252495
SE,47331,62342,133657,24333
SP,2785478,1064243,6088132,9937853
TO,46342,48931,223503,318776
